Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Greek Pita,4.2,47.7613749,-122.1759961,"18404 120th Ave NE, Bothell, WA 98011",98011,264
Mykonos Greek Grill,4.6,47.680505,-122.3253237,"310 NE 72nd St, Seattle, WA 98115",98115,425
Niko's Gyros Magnolia,4.6,47.6392168,-122.3985993,"2231 32nd Ave W, Seattle, WA 98199",98199,447
Acropolis Pizza & Pasta - Kirkland,4.6,47.6791373,-122.1985533,"500 Central Way, Kirkland, WA 98033",98033,813
Shawarmaniac Mediterranean Grill,4.3,47.7033028,-122.1752211,"11510 124th Ave NE, Kirkland, WA 98033",98033,935
BiBi Mediterranean Inspired Food and Specialties,4.4,47.6669918,-122.1972792,"10724 NE 68th St, Kirkland, WA 98033",98033,215
Alanya Cafe,4.6,47.6756221,-122.2067827,"1 Lake St S, Kirkland, WA 98033",98033,367
SUPER GYROS,4.7,47.711799,-122.185913,"12412 116th Ave NE, Kirkland, WA 98034",98034,357
George's,4.3,47.6756434,-122.2060673,"108 Kirkland Ave, Kirkland, WA 98033",98033,1016
Mediterranean Kitchen,4.4,47.7115697,-122.1884895,"11412 NE 124th St, Kirkland, WA 98034",98034,836
Gyro World,4.3,47.7215644,-122.208362,"13501 100th Ave NE, Kirkland, WA 98034",98034,242
Bella Balducci's Mediterranean Cuisine,4.6,47.7064573,-122.2097767,"11834 98th Ave NE, Kirkland, WA 98034",98034,546
Jasmine Kitchen,4.4,47.7046603,-122.1763236,"11613 124th Ave NE # F, Kirkland, WA 98034",98034,506
Padria Mediterranean Cafe,4.6,47.7066278,-122.2123712,"9708 NE 119th Way, Kirkland, WA 98034",98034,498
Santorini Greek Grill,4.6,47.6766014,-122.2080154,"106 Central Way, Kirkland, WA 98033",98033,439
Elixor,4.2,45.4828016,-73.7935806,"3237 Sources Blvd, Dollard-Des Ormeaux, Quebec H9B 1Z6, Canada             3237 Bd des Sources, Dollard-des-Ormeaux, QC H9B 1Z6",H9B 1Z6,921
Marquis Bar & Grill,3.8,45.4613113,-73.8266237,"6700 Trans-Canada Hwy, Pointe-Claire, Quebec H9R 1C2, Canada             6700 Route Transcanadienne, Pointe-Claire, QC H9R 1C2",H9R 1C2,37
Pizza Spano,4.5,45.4908379,-73.7770956,"1360 Sunnybrooke Blvd, Dollard-Des Ormeaux, Quebec H9B 2W5, Canada             1360 Bd Sunnybrooke, Dollard-des-Ormeaux, QC H9B 2W5",H9B 2W5,566
Arena Pizza Pointe-Claire,4.1,45.448081,-73.8036885,"88 Av. Ashgrove, Pointe-Claire, QC H9R 3N4, Canada",H9R 3N4,68
Tanoura Restaurant,4.2,45.4800119,-73.8425552,"4230 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9H 3X4, Canada",H9H 3X4,145
Copper Branch,4.2,45.4683841,-73.828962,"301 Brunswick Blvd, Pointe-Claire, Quebec H9R 4Y2, Canada             301 Bd Brunswick, Pointe-Claire, QC H9R 4Y2",H9R 4Y2,603
Amir Saint Jean (Pointe Claire),4.1,45.4697036,-73.8323211,"1000 Boul. Saint-Jean #10, Pointe-Claire, QC H9R 5P1, Canada",H9R 5P1,290
Boustan Fairview,3.3,45.4642697,-73.831483,"6801 Route Transcanadienne Unit FC10, Pointe-Claire, Quebec H9R 5J2, Canada",H9R 5J2,27
