Nom,totalScore,Latitude,Longitude,Rue,postalCode,reviewsCount
Masala Art,4.6,45.4850803,-73.8015222,11612 Salaberry Blvd,H9B 2R8,373
Marché Sheng Tai,3.9,45.5034215,-73.8172184,4850 Sources Blvd,H8Y 3C7,1031
Riccardos Restaurant,4.5,45.4776171,-73.8385487,4071 Boul. Saint-Jean,H9G 2R4,413
Thai Express Restaurant Pierrefonds,3.5,45.483832,-73.858677,"Plaza Pierrefonds, 14850 Pierrefonds Blvd.",H9H 4Y6,155
Rotisserie Panama,4.2,45.4850612,-73.801322,11604 Salaberry Blvd,H9B 2R8,418
Bâton Rouge Grillhouse & Bar,4.2,45.47449,-73.834818,3839 Boul. Saint-Jean,H9G 1X2,1304
Becks Cuisine and Catering,4.8,45.5044478,-73.8184335,4886B Sources Blvd,H8Y 3C7,103
K-BBQ,4.2,45.4814935,-73.8428672,4337 Boul. Saint-Jean,H9H 2A4,867
Tandoor et Grille Restaurant & Reception Hall (Known as Tandoori Grill),3.8,45.5014176,-73.8154407,4690 Sources Blvd,H8Y 3C4,1169
Tanoura Restaurant,4.2,45.4800119,-73.8425552,4230 Boul. Saint-Jean,H9H 3X4,145
Restaurant Basha (D.D.O),4.5,45.484296,-73.795638,3339 Sources Blvd,H9B 1Z8,449
Restaurant Aryana,4.4,45.5043275,-73.8184695,4886 Sources Blvd,H8Y 3C7,222
Le Poké Station,4.3,45.485981,-73.7994496,3496 Sources Blvd,H9B 1Z9,46
YUNNAN Nouilles de Riz West Island 十秒到过桥米线西岛店,4.2,45.4803075,-73.8404621,4291 Boul. Saint-Jean,H9G 2R4,38
Bistro Nolah,4.7,45.47211,-73.8322562,3669 Boul. Saint-Jean,H9G 1X2,751
Sushi Belle,4,45.4872488,-73.8480845,4701 Q Boul. Saint-Jean,H9H 2A7,48
MOUSHI,4.3,45.4706577,-73.8316431,3593 Boul. Saint-Jean,H9G 1W9,413
K-BROS Restaurant Coréen,4.9,45.4772845,-73.8381929,4057 Boul. Saint-Jean #101,H9G 2R4,181
Sushi Sama (DDO),3.9,45.4773355,-73.8382608,4059 Boul. Saint-Jean,H9G 2R4,91
Dumpling King,4.4,45.4632098,-73.8699469,4559 Saint-Charles Blvd,H9H 3C7,150
Sushi Japango,4.2,45.4847092,-73.8024808,11672 Bd De Salaberry,H9B 2R8,78
Sushi Shop,4,45.485149,-73.796306,3343F Sources Blvd,H9B 1Z8,178
Nouveau Maison Kam,3.7,45.507426,-73.822323,11779 Pierrefonds Blvd.,H8Z 1V6,236
Saveurs Thaï,4.3,45.492894,-73.849974,13900 Pierrefonds Blvd.,H9A 1A8,168
